Question ID,Response,Knowledge Component,Difficulty,Answer,Student ID,Status,literal_number_correct,literal_number_incorrect,inferential_number_correct,inferential_number_incorrect,critical_number_correct,critical_number_incorrect
0,C,literal,0,D,0,0,0,0,0,0,0,0
1,C,inferential,0.2796508158,B,0,0,0,1,0,0,0,0
2,D,inferential,0.4901752136,B,0,0,0,2,0,1,0,0
3,B,inferential,0.3040887644,C,0,0,0,3,0,2,0,0
4,B,inferential,0.3160402773,A,0,0,0,4,0,3,0,0
5,A,inferential,0.4830983286,A,0,1,1,4,1,3,0,0
6,A,literal,0.1370567028,B,0,0,1,5,1,4,0,0
7,C,critical,0.4742685156,D,0,0,1,6,0,0,0,0
8,A,inferential,0.5231932545,B,0,0,1,7,0,1,0,1
9,D,literal,0.06470921989,A,0,0,1,8,0,2,0,0
10,B,literal,0.06470921989,C,0,0,1,9,0,0,0,0
11,D,critical,0.6044730745,C,0,0,1,10,0,0,0,0
12,C,inferential,0.5759683477,D,0,0,1,11,0,1,0,1
13,A,literal,0.6585900523,A,0,1,2,11,1,1,0,0
14,B,literal,0.6585900523,B,0,1,3,11,0,0,0,0
15,A,critical,1,B,0,0,3,12,0,0,0,0
16,C,critical,0.5400272658,C,0,1,4,12,1,0,1,0
17,B,critical,0.5153247851,C,0,0,4,13,1,1,1,1
18,D,critical,0.662024699,B,0,0,4,14,1,2,1,2
19,A,inferential,0.7254680353,D,0,0,4,15,1,3,1,3
0,C,literal,0,D,1,0,0,0,0,0,0,0
1,A,inferential,0.2796508158,B,1,0,0,1,0,0,0,0
2,D,inferential,0.4901752136,B,1,0,0,2,0,1,0,0
3,A,inferential,0.3040887644,C,1,0,0,3,0,2,0,0
4,B,inferential,0.3160402773,A,1,0,0,4,0,3,0,0
5,D,inferential,0.4830983286,A,1,0,0,5,0,4,0,0
6,C,literal,0.1370567028,B,1,0,0,6,0,5,0,0
7,A,critical,0.4742685156,D,1,0,0,7,0,0,0,0
8,C,inferential,0.5231932545,B,1,0,0,8,0,1,0,1
9,B,literal,0.06470921989,A,1,0,0,9,0,2,0,0
10,D,literal,0.06470921989,C,1,0,0,10,0,0,0,0
11,A,critical,0.6044730745,C,1,0,0,11,0,0,0,0
12,A,inferential,0.5759683477,D,1,0,0,12,0,1,0,1
13,C,literal,0.6585900523,A,1,0,0,13,0,2,0,0
14,D,literal,0.6585900523,B,1,0,0,14,0,0,0,0
15,B,critical,1,B,1,1,1,14,0,0,0,0
16,C,critical,0.5400272658,C,1,1,2,14,1,0,1,0
17,A,critical,0.5153247851,C,1,0,2,15,1,1,1,1
18,D,critical,0.662024699,B,1,0,2,16,1,2,1,2
19,C,inferential,0.7254680353,D,1,0,2,17,1,3,1,3
0,D,literal,0,D,2,1,0,0,0,0,0,0
1,C,inferential,0.2796508158,B,2,0,0,1,0,0,0,0
2,B,inferential,0.4901752136,B,2,1,1,1,1,0,0,0
3,A,inferential,0.3040887644,C,2,0,1,2,1,1,0,0
4,A,inferential,0.3160402773,A,2,1,2,2,2,1,0,0
5,D,inferential,0.4830983286,A,2,0,2,3,2,2,0,0
6,C,literal,0.1370567028,B,2,0,2,4,2,3,0,0
7,D,critical,0.4742685156,D,2,1,3,4,0,0,0,0
8,A,inferential,0.5231932545,B,2,0,3,5,0,1,0,1
9,C,literal,0.06470921989,A,2,0,3,6,0,2,0,0
10,A,literal,0.06470921989,C,2,0,3,7,0,0,0,0
11,A,critical,0.6044730745,C,2,0,3,8,0,0,0,0
12,C,inferential,0.5759683477,D,2,0,3,9,0,1,0,1
13,D,literal,0.6585900523,A,2,0,3,10,0,2,0,0
14,A,literal,0.6585900523,B,2,0,3,11,0,0,0,0
15,A,critical,1,B,2,0,3,12,0,0,0,0
16,C,critical,0.5400272658,C,2,1,4,12,1,0,1,0
17,A,critical,0.5153247851,C,2,0,4,13,1,1,1,1
18,B,critical,0.662024699,B,2,1,5,13,2,1,2,1
19,D,inferential,0.7254680353,D,2,1,6,13,3,1,3,1
0,B,literal,0,D,3,0,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,3,1,1,0,0,0,0,0
2,D,inferential,0.4901752136,B,3,0,1,1,0,1,0,0
3,A,inferential,0.3040887644,C,3,0,1,2,0,2,0,0
4,B,inferential,0.3160402773,A,3,0,1,3,0,3,0,0
5,B,inferential,0.4830983286,A,3,0,1,4,0,4,0,0
6,B,literal,0.1370567028,B,3,1,2,4,1,4,0,0
7,B,critical,0.4742685156,D,3,0,2,5,0,0,0,0
8,C,inferential,0.5231932545,B,3,0,2,6,0,1,0,1
9,A,literal,0.06470921989,A,3,1,3,6,1,1,0,0
10,A,literal,0.06470921989,C,3,0,3,7,0,0,0,0
11,C,critical,0.6044730745,C,3,1,4,7,0,0,0,0
12,C,inferential,0.5759683477,D,3,0,4,8,0,1,0,1
13,A,literal,0.6585900523,A,3,1,5,8,1,1,0,0
14,B,literal,0.6585900523,B,3,1,6,8,0,0,0,0
15,A,critical,1,B,3,0,6,9,0,0,0,0
16,D,critical,0.5400272658,C,3,0,6,10,0,1,0,1
17,B,critical,0.5153247851,C,3,0,6,11,0,2,0,2
18,A,critical,0.662024699,B,3,0,6,12,0,3,0,3
19,B,inferential,0.7254680353,D,3,0,6,13,0,4,0,4
0,A,literal,0,D,4,0,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,4,1,1,0,0,0,0,0
2,B,inferential,0.4901752136,B,4,1,2,0,1,0,0,0
3,C,inferential,0.3040887644,C,4,1,3,0,2,0,0,0
4,A,inferential,0.3160402773,A,4,1,4,0,3,0,0,0
5,A,inferential,0.4830983286,A,4,1,5,0,4,0,0,0
6,B,literal,0.1370567028,B,4,1,6,0,5,0,0,0
7,A,critical,0.4742685156,D,4,0,6,1,0,0,0,0
8,A,inferential,0.5231932545,B,4,0,6,2,0,1,0,1
9,C,literal,0.06470921989,A,4,0,6,3,0,2,0,0
10,D,literal,0.06470921989,C,4,0,6,4,0,0,0,0
11,A,critical,0.6044730745,C,4,0,6,5,0,0,0,0
12,A,inferential,0.5759683477,D,4,0,6,6,0,1,0,1
13,A,literal,0.6585900523,A,4,1,7,6,1,1,0,0
14,A,literal,0.6585900523,B,4,0,7,7,0,0,0,0
15,A,critical,1,B,4,0,7,8,0,0,0,0
16,B,critical,0.5400272658,C,4,0,7,9,0,1,0,1
17,A,critical,0.5153247851,C,4,0,7,10,0,2,0,2
18,B,critical,0.662024699,B,4,1,8,10,1,2,1,2
19,C,inferential,0.7254680353,D,4,0,8,11,1,3,1,3
